1.0, 0.29, 1.64, 0.0, 0.24, 0.05, 0.45, 0.02, 0.0, 52.0, 595.0, 408.0, 563.0, 563.0, 535.0
2.0, 0.33, 1.48, 0.0, 0.18, 0.16, 0.27, 0.26, 0.0, 53.0, 550.0, 388.0, 563.0, 564.0, 540.0
3.0, 0.38, 1.49, 0.0, 0.25, 0.0, 0.41, 0.0, 0.0, 54.0, 530.0, 378.0, 523.0, 559.0, 544.0
4.0, 0.39, 1.59, 0.0, 0.27, 0.16, 0.44, 0.05, 0.0, 55.0, 515.0, 357.0, 498.0, 532.0, 532.0
5.0, 0.5, 1.5, 0.0, 0.17, 0.2, 0.45, 0.1, 0.0, 58.0, 560.0, 306.0, 434.0, 505.0, 537.0
6.0, 0.52, 1.18, 0.0, 0.3, 0.13, 0.3, 0.16, 0.0, 59.0, 575.0, 325.0, 447.0, 543.0, 552.0
7.0, 0.38, 1.51, 0.0, 0.26, 0.99, 0.0, 0.4, 0.0, 60.0, 482.0, 339.0, 438.0, 507.0, 515.0
8.0, 0.26, 1.51, 0.0, 0.42, 0.45, 0.5, 0.0, 0.0, 61.0, 604.0, 420.0, 559.0, 551.0, 521.0
9.0, 0.3, 1.63, 0.0, 0.49, 0.44, 0.33, 0.0, 0.0, 62.0, 593.0, 398.0, 528.0, 544.0, 518.0
10.0, 0.19, 1.37, 0.0, 0.14, 0.2, 0.31, 0.56, 0.0, 63.0, 580.0, 447.0, 620.0, 595.0, 539.0
11.0, 0.4, 1.34, 0.0, 0.21, 0.53, 0.22, 1.03, 0.0, 64.0, 500.0, 322.0, 463.0, 508.0, 520.0
12.0, 0.21, 0.78, 0.0, 0.0, 0.99, 0.0, 1.09, 0.0, 96.0, 538.0, 441.0, 575.0, 593.0, 543.0
13.0, 0.22, 0.77, 0.0, 0.0, 1.99, 0.0, 1.08, 0.0, 97.0, 585.0, 411.0, 492.0, 528.0, 516.0
14.0, 0.4, 0.45, 0.0, 0.0, 1.52, 0.0, 3.33, 0.0, 102.0, 482.0, 261.0, 405.0, 452.0, 498.0
15.0, 0.29, 0.21, 0.0, 0.056, 1.45, 0.0, 3.25, 0.0, 108.0, 477.0, 341.0, 493.0, 511.0, 510.0
16.0, 0.33, 0.57, 0.0, 0.23, 0.85, 0.09, 3.26, 0.0, 109.0, 500.0, 303.0, 430.0, 502.0, 503.0
17.0, 0.33, 0.23, 0.0, 0.06, 1.79, 0.0, 3.78, 0.0, 110.0, 448.0, 288.0, 432.0, 455.0, 488.0
18.0, 0.35, 0.44, 0.0, 0.14, 1.43, 0.13, 4.23, 0.0, 111.0, 425.0, 261.0, 428.0, 429.0, 475.0
19.0, 0.26, 0.87, 0.0, 0.0, 0.0, 0.26, 0.0, 0.0, 120.0, 590.0, 491.0, 634.0, 660.0, 584.0
20.0, 0.39, 0.67, 0.0, 0.26, 0.0, 0.49, 0.06, 0.0, 123.0, 593.0, 428.0, 568.0, 622.0, 577.0
21.0, 0.42, 0.55, 0.0, 0.25, 0.0, 0.71, 0.06, 0.0, 128.0, 593.0, 414.0, 558.0, 606.0, 578.0
22.0, 0.28, 0.65, 0.0, 0.19, 0.66, 0.22, 0.16, 0.0, 144.0, 543.0, 470.0, 582.0, 626.0, 566.0
23.0, 0.33, 0.53, 0.0, 0.0, 0.9, 0.18, 0.0, 0.0, 152.0, 580.0, 460.0, 543.0, 615.0, 575.0
24.0, 0.37, 0.77, 0.0, 0.0, 0.98, 0.21, 0.0, 0.0, 153.0, 575.0, 417.0, 498.0, 575.0, 561.0
25.0, 0.41, 0.67, 0.0, 0.23, 1.01, 0.23, 0.2, 0.0, 154.0, 580.0, 391.0, 475.0, 562.0, 552.0
26.0, 0.42, 0.69, 0.0, 0.23, 0.94, 0.18, 0.05, 0.0, 155.0, 593.0, 398.0, 476.0, 572.0, 557.0
27.0, 0.42, 0.72, 0.0, 0.0, 0.99, 0.42, 0.05, 0.0, 156.0, 550.0, 364.0, 470.0, 546.0, 556.0
28.0, 0.46, 0.77, 0.0, 0.28, 1.06, 0.22, 0.15, 0.0, 157.0, 566.0, 361.0, 436.0, 538.0, 543.0
29.0, 0.5, 1.25, 0.0, 0.0, 0.65, 0.18, 0.0, 0.0, 158.0, 538.0, 329.0, 416.0, 522.0, 550.0
30.0, 0.14, 0.26, 0.0, 0.0, 1.05, 0.26, 2.21, 0.0, 162.0, 538.0, 456.0, 627.0, 592.0, 536.0
31.0, 0.17, 0.57, 0.0, 0.0, 0.45, 0.24, 1.87, 0.0, 163.0, 545.0, 438.0, 642.0, 612.0, 547.0
32.0, 0.27, 0.53, 0.0, 0.26, 0.71, 0.18, 3.38, 0.0, 164.0, 538.0, 330.0, 540.0, 520.0, 504.0
33.0, 0.3, 0.69, 0.01, 0.22, 0.85, 0.3, 2.83, 0.0, 165.0, 515.0, 314.0, 553.0, 498.0, 502.0
34.0, 0.31, 0.66, 0.0, 0.28, 0.72, 0.34, 1.67, 0.0, 166.0, 566.0, 362.0, 534.0, 546.0, 527.0
